Type,CatName,Category Count
At_Risk,Appliances,6470
Cannot_Lose_Them,Appliances,6342
Lost,Appliances,724
Hibernating,Appliances,668
At_Risk,Beauty & Grooming,7071
Cannot_Lose_Them,Beauty & Grooming,5902
Hibernating,Beauty & Grooming,576
Lost,Beauty & Grooming,282
Cannot_Lose_Them,Books,373
At_Risk,Books,290
Lost,Books,63
Hibernating,Books,26
At_Risk,Computing,2038
Cannot_Lose_Them,Computing,1898
Hibernating,Computing,217
Lost,Computing,209
Cannot_Lose_Them,Entertainment,2680
At_Risk,Entertainment,2313
Lost,Entertainment,202
Hibernating,Entertainment,120
At_Risk,Health & Sports,2657
Cannot_Lose_Them,Health & Sports,2181
Hibernating,Health & Sports,352
Lost,Health & Sports,318
At_Risk,Home & Living,4982
Cannot_Lose_Them,Home & Living,3184
Hibernating,Home & Living,385
Lost,Home & Living,171
At_Risk,Kids & Baby,3227
Cannot_Lose_Them,Kids & Baby,1970
Hibernating,Kids & Baby,228
Lost,Kids & Baby,66
At_Risk,Men's Fashion,15565
Cannot_Lose_Them,Men's Fashion,13006
Hibernating,Men's Fashion,2322
Lost,Men's Fashion,639
Cannot_Lose_Them,Mobiles & Tablets,13528
At_Risk,Mobiles & Tablets,12281
Hibernating,Mobiles & Tablets,909
Lost,Mobiles & Tablets,865
At_Risk,Others,900
Cannot_Lose_Them,Others,849
Hibernating,Others,405
Lost,Others,55
At_Risk,School & Education,681
Cannot_Lose_Them,School & Education,459
Hibernating,School & Education,38
Lost,School & Education,16
At_Risk,Soghaat,7187
Cannot_Lose_Them,Soghaat,5812
Hibernating,Soghaat,132
Lost,Soghaat,28
At_Risk,Superstore,5122
Cannot_Lose_Them,Superstore,4255
Hibernating,Superstore,176
Lost,Superstore,70
At_Risk,Women's Fashion,7922
Cannot_Lose_Them,Women's Fashion,6038
Lost,Women's Fashion,1279
Hibernating,Women's Fashion,1261
